"product_sku","product_name","category_id"
"15-679-3935","Grapes",3
"15-762-1058","Lime",3
"15-796-3130","Rye Bread",6
"15-797-4824","Coconut",3
"15-846-7959","Zucchini",3
"15-884-7413","Apple",3
"15-905-7750","Apricot",3
"15-907-3681","Plum",3
"16-187-5729","Black Tea",2
"16-354-8122","Digestive Biscuit",6
"16-380-0753","Apricot",3
"16-499-5059","Pear",3
"16-632-1308","Arabica Coffee",2
"17-002-4721","Green Beans",3
"17-022-9721","Apple",3
"17-236-0566","Sweet Potato",3
"17-253-5688","Greek Yogurt",5
"17-265-1899","Orange",3
"17-274-6898","Whole Wheat Bread",6
"17-395-1121","Plum",3
"17-493-4579","Almond Flour",1
"17-504-3699","Sweet Potato",3
"17-647-0503","Cod",7
"18-107-7886","Evaporated Milk",5
"18-199-5799","Cheddar Cheese",5
"18-278-2383","Gouda Cheese",5
"19-021-5024","Broccoli",3
"19-047-4239","Peach",3
"19-112-1616","Lettuce",3
"19-214-5762","Pear",3
"19-244-9890","Herbal Tea",2
"19-323-0506","Halibut",7
"19-377-5021","Mackerel",7
"19-610-2236","Whole Wheat Bread",6
"19-672-8982","Butter",5
"19-854-3663","Watermelon",3
"19-967-0632","Short Grain Rice",1
"20-022-3173","Bread Flour",1
"20-031-0532","Mango",3
"20-054-3716","Chocolate Biscuit",6
"20-225-3930","White Tea",2
"20-283-0111","Pear",3
"20-325-1965","Coconut",3
"20-387-7746","Powdered Sugar",1
"20-405-4865","Milk",5
"20-448-2972","Asparagus",3
"21-013-3508","Cabbage",3
"21-120-6238","All-Purpose Flour",1
"21-252-1360","Corn Oil",4
"21-633-8696","Coconut Sugar",1
"21-650-9319","White Bread",6
"21-693-8216","Corn Oil",4
"21-718-6746","Coconut",3
"21-809-7115","White Rice",1
"21-816-1004","Black Coffee",2
"21-890-2826","Gouda Cheese",5
"21-993-5632","Watermelon",3
"22-083-3347","Long Grain Rice",1
"22-141-9798","White Sugar",1
"22-266-9291","Sardines",7
"22-319-1377","White Sugar",1
"22-329-7791","Watermelon",3
"22-621-2774","Strawberries",3
"22-760-4605","Yogurt",5
"22-778-3553","Cheddar Cheese",5
"22-849-2551","Mushrooms",3
"22-895-6595","Rice Flour",1
"23-070-2433","Powdered Sugar",1
"23-265-8144","Yogurt",5
"23-395-3157","Vegetable Oil",4
"24-009-1208","White Tea",2
"24-143-4957","Canola Oil",4
"24-228-6840","Herbal Tea",2
"24-310-9184","Rye Bread",6
"24-364-3341","Egg (Turkey)",5
"24-478-8277","Multigrain Bread",6
"24-571-1080","Kale",3
"24-579-6500","Anchovies",7
"24-972-6969","Cheese",5
"24-975-4231","Green Beans",3
"24-986-5091","Vanilla Biscuit",6
"24-989-3302","Coconut",3
"25-010-9478","Eggplant",3
"25-349-7974","Spinach",3
"25-353-2067","Papaya",3
"25-522-6043","Gouda Cheese",5
"25-911-7736","Orange",3
"26-000-1012","Parmesan Cheese",5
"26-010-9519","Trout",7
"26-031-8070","Vegetable Oil",4
"26-134-9069","Whipped Cream",5
"26-161-6692","Zucchini",3
"26-177-5690","Cucumber",3
"26-456-1992","Tilapia",7
"26-535-4727","Tilapia",7
"26-629-5920","Rye Bread",6
"26-690-3784","Lettuce",3
"26-799-3714","Robusta Coffee",2
"27-216-9671","Sesame Oil",4
"27-262-2437","Swiss Cheese",5
"27-269-5260","Pineapple",3
"27-387-0428","Halibut",7
"27-389-3529","Haddock",7
"27-442-3654","Herbal Tea",2
"27-459-0724","Feta Cheese",5
"27-474-0056","Spinach",3
"27-495-1912","Potato",3
"27-635-8394","Orange",3
"27-681-5588","Anchovies",7
"27-757-4489","Egg (Goose)",5
"27-783-5470","Feta Cheese",5
"27-881-1177","Green Tea",2
"28-003-8065","Almond Flour",1
"28-008-2951","Broccoli",3
"28-044-4102","Papaya",3
"28-107-4953","Chocolate Biscuit",6
"28-146-2641","Parmesan Cheese",5
"28-185-7303","Robusta Coffee",2
"28-197-9246","Powdered Sugar",1
"28-275-5901","Anchovies",7
"28-433-8533","Multigrain Bread",6
"28-505-8317","Watermelon",3
"28-608-0039","Lemon",3
"28-824-9017","Trout",7
"28-840-6096","Pomegranate",3
"28-956-1320","Greek Yogurt",5
"28-968-4195","Eggplant",3
"28-986-8001","Pomegranate",3
"29-017-6255","Bell Pepper",3
"29-092-3453","Spinach",3
"29-135-0791","Jasmine Rice",1
"29-205-1132","Sushi Rice",1
"29-344-3658","Lime",3
"29-377-7040","Short Grain Rice",1
"29-436-6570","Digestive Biscuit",6
"29-592-7315","Arborio Rice",1
"29-741-8132","Kale",3
"29-756-7042","Digestive Biscuit",6
"29-823-6004","Zucchini",3
"29-875-6900","Papaya",3
"29-896-7926","White Rice",1
"30-429-2162","Black Rice",1
"30-591-7275","Brown Rice",1
"30-806-3823","Jasmine Rice",1
"30-832-5429","Multigrain Bread",6
"30-964-2694","Peas",3
"30-996-2526","Green Beans",3
"31-157-1822","Ricotta Cheese",5
"31-211-5803","Oatmeal Biscuit",6
"31-255-9616","Tuna",7
"31-387-5020","Parmesan Cheese",5
"31-403-6234","Tuna",7
"31-608-1445","Papaya",3
"31-627-6025","White Bread",6
"31-745-6850","Cabbage",3
"31-746-4951","Whole Wheat Flour",1
"31-803-5001","Asparagus",3
"31-969-4614","Arabica Coffee",2
"32-261-0008","Heavy Cream",5
"32-270-1385","Greek Yogurt",3
"32-676-1026","Salmon",7
"32-933-0329","Blueberries",3
"32-987-5559","Green Tea",2
"33-335-9140","Olive Oil",4
"33-378-1365","Egg (Goose)",5
"33-440-2588","Bell Pepper",3
"33-507-9886","Pineapple",3
"33-670-6797","Mackerel",7
"33-807-7247","Mozzarella Cheese",5
"34-075-0371","Watermelon",3
"34-086-3222","Lemon",3
"34-110-1040","Bell Pepper",3
"34-131-8805","Yogurt",5
"34-291-4939","Digestive Biscuit",6
"34-369-7712","Apricot",3
"34-538-1180","Sour Cream",5
"34-547-0827","White Rice",1
"34-709-9237","Carrot",3
"34-861-4446","Ricotta Cheese",5
"34-928-2775","Coconut",3
"35-031-1497","Green Coffee",2
"35-257-9312","Parmesan Cheese",5
"35-299-0889","Coconut Oil",4
"35-328-8392","Long Grain Rice",1
"35-353-4068","Bread Flour",1
"35-529-2933","Broccoli",3
"35-617-3857","Arabica Coffee",2
"35-621-2546","Swiss Cheese",5
"35-835-5591","Tilapia",7
"35-836-6718","Ricotta Cheese",5
"36-127-4273","Ricotta Cheese",5
"36-177-0573","Egg (Turkey)",5
"36-296-9609","Sunflower Oil",4
"36-330-5036","Salmon",7
"36-372-2295","Basmati Rice",1
"36-383-3677","Corn Oil",4
"36-531-4087","Almond Flour",1
"36-636-4873","Black Rice",1
"36-679-4670","Bell Pepper",3
"36-840-2728","Mackerel",7
"36-899-5324","Orange",3
"36-918-2937","Green Coffee",2
"37-064-7275","Robusta Coffee",2
"37-246-0018","Broccoli",3
"37-248-6266","Pear",3
"37-567-3218","Almond Flour",1
"37-606-0510","Milk",5
"37-610-1999","Halibut",7
"37-666-3902","Cauliflower",3
"37-709-3532","Mushrooms",3
"38-049-9319","Oatmeal Biscuit",6
"38-296-6634","Peas",3
"38-390-2115","Potato",3
"38-417-4656","White Sugar",1
"38-555-9147","Black Coffee",2
"38-617-7226","Mushrooms",3
"38-655-2312","Kale",3
"38-664-2155","Cauliflower",3
"38-732-7667","Pineapple",3
"38-822-8005","Cucumber",3
"38-924-3007","Peas",3
"39-192-3521","Herbal Tea",2
"39-232-5341","Arborio Rice",1
"39-315-3936","Heavy Cream",5
"39-358-3340","Basmati Rice",1
"39-449-0772","Feta Cheese",5
"39-479-5147","Tuna",7
"39-629-5554","Egg (Goose)",5
"39-768-8205","Egg (Turkey)",5
"39-810-2042","Rice Flour",1
"39-913-2999","Evaporated Milk",5
"40-003-7322","White Sugar",1
"40-021-2400","Zucchini",3
"40-126-0515","Carrot",3
"40-205-8252","Multigrain Bread",6
"40-462-2952","Trout",7
"40-630-1431","Cherry",3
"40-681-9981","Arabica Coffee",2
"40-683-0283","White Sugar",1
"40-751-8635","Pineapple",3
"40-793-7235","Sour Cream",5
"40-795-0753","Raw Sugar",1
"40-810-9261","Green Coffee",2
"40-860-4532","Arabica Coffee",2
"40-902-1995","Asparagus",3
"40-913-9772","Egg (Chicken)",5
"40-997-2786","Yogurt",5
"41-131-3841","Almond Flour",1
"41-237-5498","Cheese",5
"41-240-8856","Haddock",7
"41-316-8427","Arborio Rice",1
"41-475-5305","Rye Bread",6
"41-526-4036","Whipped Cream",5
"41-538-3129","Digestive Biscuit",6
"41-594-5069","Egg (Duck)",5
"41-729-5410","Sardines",7
"41-735-9837","Robusta Coffee",2
"42-134-9798","Canola Oil",4
"42-141-5718","Cheese",5
"42-175-1648","Pomegranate",3
"42-220-9305","White Sugar",1
"42-495-7698","Sushi Rice",1
"42-674-3917","Whole Wheat Flour",1
"42-879-9478","Anchovies",7
"42-887-6557","Long Grain Rice",1
"42-907-6946","Coconut Oil",4
"43-153-8268","Vegetable Oil",4
"43-164-5984","Butter",5
"43-193-9915","Mozzarella Cheese",5
"43-469-7551","Arabica Coffee",2
"43-670-8544","Orange",3
"43-693-2092","Butter",5
"43-703-9939","Pineapple",3
"43-851-9440","Lime",3
"43-893-5408","Short Grain Rice",1
"43-910-2342","Plum",3
"44-112-3331","Tuna",7
"44-128-2185","Jasmine Rice",1
"44-305-1866","Butter",5
"44-368-7112","Corn Oil",4
"44-408-7594","Eggplant",3
"44-476-0390","Lemon",3
"44-480-9446","Sunflower Oil",4
"44-538-3366","Tuna",7
"44-546-5713","Peach",3
"44-552-3909","Pear",3
"44-634-8292","Whole Wheat Flour",1
"44-637-5512","Watermelon",3
"44-782-1395","Raw Sugar",1
"45-050-4720","Black Rice",1
"45-172-7012","Papaya",3
"45-194-4094","Plum",3
"45-250-4679","Bread Flour",1
"45-317-9731","Palm Oil",4
"45-380-4627","Cabbage",3
"45-402-0421","Swiss Cheese",5
"45-634-0679","Haddock",7
"45-852-2446","Salmon",7
"45-992-5653","Whole Wheat Flour",1
"46-083-7058","Haddock",7
"46-255-3073","Tilapia",7
"46-415-8633","Apple",3
"46-436-5351","Green Tea",2
"46-452-9419","Egg (Duck)",5
"46-496-2930","Pomegranate",3
"46-520-1819","Short Grain Rice",1
"46-622-3434","Jasmine Rice",1
"46-632-8420","Whipped Cream",5
"46-753-8430","Feta Cheese",5
"46-911-1159","Onion",3
"46-931-6897","Cream",5
"47-221-2470","Pomegranate",3
"47-221-3391","Black Coffee",2
"47-441-7682","Digestive Biscuit",6
"47-548-6500","Onion",3
"47-554-5780","Haddock",7
"47-578-4161","Anchovies",7
"47-581-0363","Parmesan Cheese",5
"47-663-5703","Basmati Rice",1
"47-749-3277","Powdered Sugar",1
"47-802-5023","Cod",7
"47-843-8207","Cauliflower",3
"47-866-6589","Egg (Duck)",5
"48-193-1199","Canola Oil",4
"48-242-8445","Plum",3
"48-289-0604","Vegetable Oil",4
"48-414-6162","Arabica Coffee",2
"48-427-0551","Arabica Coffee",2
"48-461-3742","Kiwi",3
"48-770-6319","Egg (Duck)",5
"48-789-9187","Peach",3
"48-957-6116","Eggplant",3
"48-957-8596","Banana",3
"49-199-6836","Tomato",3
"49-311-3063","Kiwi",3
"49-377-9731","Lime",3
"49-526-7806","Kale",3
"49-570-8214","Sour Cream",5
"49-579-4325","Ricotta Cheese",5
"49-730-0159","Cream",5
"49-861-7823","Coconut",3
"49-891-4927","Cottage Cheese",5
"49-919-8798","Evaporated Milk",5
"50-329-3145","Milk",5
"50-329-3360","Wild Rice",1
"50-364-5828","Coconut",3
"50-679-2072","Canola Oil",4
"50-772-2613","Cheddar Cheese",5
"50-930-4751","Salmon",7
"50-942-2409","Peas",3
"51-000-8113","Green Tea",2
"51-069-0489","Bread Flour",1
"51-273-4240","Multigrain Bread",6
"51-312-8608","Cheddar Cheese",5
"51-459-5630","Sour Cream",5
"51-462-0747","Lime",3
"51-469-4611","Long Grain Rice",1
"51-572-5497","Orange",3
"51-583-6029","Digestive Biscuit",6
"51-761-6320","Egg (Goose)",5
"51-934-9117","Sardines",7
"52-029-2382","Coconut Oil",4
"52-123-8039","Pomegranate",3
"52-392-5312","All-Purpose Flour",1
"52-402-9245","Broccoli",3
"52-481-5224","Kiwi",3
"52-797-6961","Tilapia",7
"53-008-2419","Jasmine Rice",1
"53-050-8242","Mackerel",7
"53-080-8252","Sourdough Bread",6
"53-146-9979","Powdered Sugar",1
"53-151-5726","Grapes",3
"53-446-8243","Orange",3
"53-667-4109","Onion",3
"53-680-5293","Cheddar Cheese",5
"53-710-7630","Rice Flour",1
"53-805-9523","Sourdough Bread",6
"53-930-2215","Egg (Goose)",5
"54-109-8062","Sushi Rice",1
"54-281-3746","Green Beans",3
"54-374-9986","Cream",5
"54-708-7327","Jasmine Rice",1
"54-758-4622","Chocolate Biscuit",6
"54-822-9009","Cauliflower",1
"54-830-6971","Tilapia",7
"55-154-4728","Arabica Coffee",2
"55-164-7723","Halibut",7
"55-522-8242","Whipped Cream",5
"55-631-7937","Greek Yogurt",5
"55-680-0982","Green Tea",2
"55-697-5242","Ricotta Cheese",5
"55-803-3964","Bread Flour",1
"55-936-2406","Bread Flour",1
"56-054-8664","Lemon",3
"56-191-6497","Bread Flour",1
"56-213-0577","Papaya",3
"56-303-5256","Wild Rice",1
"56-635-6764","Sourdough Bread",6
"56-657-4387","White Bread",6
"56-668-5370","Vegetable Oil",4
"56-810-0550","Mackerel",7
"56-831-6199","Salmon",7
"56-875-3717","Brown Rice",1
"56-894-3733","Yogurt",5
"56-937-8675","Cream",5
"57-101-0060","Whole Wheat Flour",1
"57-167-0669","Haddock",7
"57-359-3397","Garlic",3
"57-394-1587","Bread Flour",1
"57-394-4703","White Tea",2
"57-437-1828","Plum",3
"57-562-2358","Black Coffee",2
"57-613-5779","Gouda Cheese",5
"57-763-5501","Cod",7
"57-779-4955","Black Rice",1
"57-861-4379","Swiss Cheese",5
"57-903-6434","Tomato",3
"58-005-5343","Cucumber",3
"58-063-8633","Bell Pepper",3
"58-122-2282","Black Tea",2
"58-182-6781","Oatmeal Biscuit",6
"58-219-0241","Avocado Oil",4
"58-229-1358","Cream",5
"58-946-5152","Bread Flour",1
"59-075-2457","Egg (Goose)",5
"59-725-4038","Arabica Coffee",2
"59-857-6577","Evaporated Milk",5
"60-198-7050","Green Tea",2
"60-285-3783","Mushrooms",3
"60-311-5701","Sesame Oil",4
"60-327-4114","Egg (Turkey)",5
"60-343-3288","Tilapia",7
"60-343-7973","Multigrain Bread",6
"60-456-8169","Cheddar Cheese",5
"60-550-4771","Haddock",7
"60-632-8752","Chocolate Biscuit",6
"60-644-6596","Trout",7
"60-747-8704","Papaya",3
"60-771-0879","Blueberries",3
"60-911-3745","Black Rice",1
"61-293-6327","Salmon",7
"61-317-9944","White Bread",6
"61-582-7399","Apricot",3
"61-607-7622","Egg (Duck)",5
"61-680-9496","Apple",3
"61-796-6540","Ricotta Cheese",5
"61-801-8665","Robusta Coffee",2
"61-827-4098","Cod",7
"62-100-2245","Sourdough Bread",6
"62-393-9939","Cheddar Cheese",5
"62-509-0666","Almond Flour",1
"62-777-6010","Sushi Rice",1
"62-795-7801","Palm Oil",4
"62-816-8794","Rice Flour",1
"62-998-7250","Evaporated Milk",5
"63-162-9244","Eggplant",3
"63-168-6018","Cucumber",3
"63-270-7076","Multigrain Bread",6
"63-822-5278","Pomegranate",3
"63-874-9747","Orange",3
"63-890-1246","Oatmeal Biscuit",6
"63-897-8088","Zucchini",3
"63-918-8253","Mango",3
"63-936-0145","Plum",3
"63-956-0739","Robusta Coffee",2
"64-109-7362","Anchovies",7
"64-119-7804","Bell Pepper",3
"64-418-8356","Sunflower Oil",4
"64-478-4745","Lemon",3
"64-493-5270","Palm Oil",4
"64-854-8664","Peanut Oil",4
"65-145-9672","Long Grain Rice",1
"65-235-7676","Whole Wheat Bread",6
"65-282-0419","White Tea",2
"65-368-2479","Egg (Turkey)",5
"65-464-5070","Heavy Cream",5
"65-527-9488","Grapes",3
"65-644-1394","Pear",3
"65-674-6076","Egg (Quail)",5
"65-718-0492","Olive Oil",4
"65-759-3721","Butter Biscuit",6
"65-780-5622","Butter Biscuit",6
"65-854-9364","Black Rice",1
"65-867-4029","Peach",3
"66-268-8345","Greek Yogurt",5
"66-312-5511","Anchovies",7
"66-327-2821","Palm Oil",4
"66-378-7532","Blueberries",3
"66-627-9752","Trout",7
"66-716-8221","Cheddar Cheese",5
"66-806-6051","Yogurt",5
"66-854-5736","Kiwi",3
"66-993-4234","Cucumber",3
"67-025-1245","Cabbage",3
"67-027-7269","Mushrooms",3
"67-130-4114","Bell Pepper",3
"67-248-6306","Cauliflower",3
"67-270-7464","Jasmine Rice",1
"67-382-4435","Green Beans",3
"67-473-7093","Black Tea",2
"67-512-9754","Egg (Turkey)",5
"67-546-1568","Peanut Oil",4
"67-625-9704","Sardines",7
"67-710-5120","Bread Flour",1
"67-725-6830","Brown Rice",1
"67-984-5368","Parmesan Cheese",5
"68-418-6724","Parmesan Cheese",5
"68-436-1268","Egg (Duck)",5
"68-636-4774","Carrot",3
"68-732-5919","Jasmine Rice",1
"68-734-1585","Greek Yogurt",3
"68-761-6907","Zucchini",3
"68-973-8812","Sweet Potato",3
"68-977-2498","Grapes",3
"68-977-6854","Apricot",3
"69-171-1305","Brown Rice",1
"69-287-9113","Zucchini",3
"69-468-5468","Sourdough Bread",6
"69-561-2496","Banana",3
"69-578-7930","Brown Rice",1
"69-674-5387","Yogurt",5
"69-743-0161","Bread Flour",1
"69-834-2874","Oatmeal Biscuit",6
"69-895-3397","Cucumber",3
"70-005-5970","Apple",3
"70-145-2550","Lemon",3
"70-149-6756","Heavy Cream",5
"70-206-4860","Egg (Quail)",5
"70-534-7796","Zucchini",3
"70-542-4269","Gouda Cheese",5
"70-587-1204","Black Rice",1
"70-612-2531","Pineapple",3
"70-815-4015","Butter Biscuit",6
"70-854-6891","Sourdough Bread",6
"70-871-4536","Swiss Cheese",5
"71-015-9181","Pomegranate",3
"71-067-3278","Anchovies",7
"71-074-6292","Sourdough Bread",6
"71-085-4290","Cucumber",3
"71-300-2191","Broccoli",3
"71-436-5841","Cauliflower",3
"71-516-1996","Corn Oil",4
"71-594-6552","Long Grain Rice",1
"71-631-5875","Salmon",7
"71-954-4501","Anchovies",7
"71-999-2404","Mango",3
"72-066-4597","Broccoli",3
"72-341-1154","Heavy Cream",5
"72-404-5581","Almond Flour",1
"72-780-6006","Sunflower Oil",4
"72-810-9753","Sesame Oil",4
"72-970-0239","Sesame Oil",4
"72-989-2512","Mushrooms",3
"73-010-8323","Tuna",7
"73-117-6105","Brown Rice",1
"73-118-1117","Olive Oil",4
"73-401-5721","Haddock",7
"73-561-2867","Sourdough Bread",6
"73-567-6194","Whipped Cream",5
"73-751-4393","Onion",3
"73-874-7534","Pomegranate",3
"73-942-0508","Kale",3
"73-997-6251","Bell Pepper",3
"74-132-5528","Cauliflower",3
"74-181-4135","Egg (Chicken)",5
"74-234-0628","Almond Flour",1
"74-294-3760","Peanut Oil",4
"74-305-1263","Green Coffee",2
"74-404-0582","Cherry",3
"74-430-8245","Peach",3
"74-548-9313","Mango",3
"74-562-7431","Vanilla Biscuit",6
"74-587-2065","Pear",3
"74-610-2295","Green Coffee",2
"74-642-2435","Cauliflower",3
"74-666-5671","Tuna",7
"74-711-7160","Sushi Rice",1
"74-818-3306","Spinach",3
"74-845-3299","Green Tea",2
"74-943-9034","White Bread",6
"75-029-9003","Sourdough Bread",6
"75-080-4909","Corn Oil",4
"75-094-1179","Rye Bread",6
"75-152-8731","Pear",3
"75-672-4378","Pomegranate",3
"75-927-9108","Cabbage",3
"76-027-4850","Onion",3
"76-070-1411","Evaporated Milk",5
"76-090-4411","Ricotta Cheese",5
"76-264-0748","Eggplant",3
"76-325-9093","Sesame Oil",4
"76-340-4432","Cucumber",3
"76-401-7083","Pomegranate",3
"76-459-2392","Palm Oil",4
"76-476-9996","Chocolate Biscuit",6
"76-540-6407","Orange",3
"76-584-4790","Peanut Oil",4
"76-623-7844","Egg (Quail)",5
"76-854-0095","White Sugar",1
"76-954-1442","Arabica Coffee",2
"77-013-1553","Canola Oil",4
"77-224-2227","Almond Flour",1
"77-312-6317","Spinach",3
"77-377-1659","Almond Flour",1
"77-777-4536","Basmati Rice",1
"77-827-0820","Sesame Oil",4
"77-937-1108","White Sugar",1
"77-959-1018","Lettuce",3
"78-237-0277","Black Tea",2
"78-362-8578","Lemon",3
"78-614-4402","Green Beans",3
"78-689-8958","White Tea",2
"78-953-2073","Canola Oil",4
"78-956-4737","Sushi Rice",1
"79-136-9840","Herbal Tea",2
"79-350-5841","Jasmine Rice",1
"79-400-6216","Mozzarella Cheese",5
"79-428-8753","Cabbage",3
"79-494-2472","Green Beans",3
"79-569-8856","Vegetable Oil",4
"79-741-0770","Mushrooms",3
"79-884-8810","Cucumber",3
"79-920-2395","Mushrooms",3
"80-020-8041","Black Rice",1
"80-025-6757","Grapes",3
"80-039-1261","Strawberries",3
"80-072-8774","Tuna",7
"80-227-6886","Garlic",3
"80-334-0215","Grapes",3
"80-371-3695","Cottage Cheese",5
"80-374-5711","Herbal Tea",2
"80-375-9075","Swiss Cheese",5
"80-441-7249","Wild Rice",1
"80-459-5950","Arabica Coffee",2
"80-658-6456","Mango",3
"80-698-0324","Butter Biscuit",6
"80-988-4653","Zucchini",3
"81-268-5905","Mackerel",7
"81-354-4203","Haddock",7
"81-573-0943","Egg (Chicken)",5
"81-578-7404","Gouda Cheese",5
"81-605-6246","Sardines",7
"81-844-2979","Broccoli",3
"82-041-7211","Swiss Cheese",5
"82-231-4245","Wild Rice",1
"82-243-3180","Palm Oil",4
"82-342-7339","Vanilla Biscuit",6
"82-380-5378","Cheese",5
"82-395-5070","Chocolate Biscuit",6
"82-538-4809","Cabbage",3
"82-678-8097","Cottage Cheese",5
"82-711-0772","Egg (Goose)",5
"82-811-7988","Olive Oil",4
"82-931-7126","Asparagus",3
"82-948-2298","Kiwi",3
"82-977-7752","Spinach",3
"83-108-1174","White Bread",6
"83-117-7658","Asparagus",3
"83-321-7887","Egg (Duck)",5
"83-400-9746","Mozzarella Cheese",5
"83-553-9523","Buttermilk",5
